,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
88,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,3,1,12756
89,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,3,3,5266
90,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,2,2,9930
91,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,3,0,31302
92,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,3,6576
93,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,4,1,2664
94,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,1,2,2535
95,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,4,3,1709
96,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,4,2,3454
97,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3,2,3789
98,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,2,0,9689
99,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,3,3,5449
100,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,0,23032
101,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,3,3,34516
102,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2,2,2940
103,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3031
104,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,0,1862
105,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,3,3,8358
106,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,1,2,34516
107,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,3,14450
108,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,0,0,1438.3
109,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,3,2,33791
110,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,3,0,8466
111,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,3,3,15088
112,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,1,2,3263
113,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,1494
114,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,1,0,13551
115,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,2,2,18886
116,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,2,0,11976
117,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,1,4,9964
118,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,6,3,24159
119,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,2,3,5362
120,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,2,2,34516
121,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,1,0,3174
122,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,2,2,12262
123,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3,3,3788
124,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,3,2,34516
125,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2,2926
126,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,1,0,32090
127,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,11669
128,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,1,2,13532
129,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,2,2,11888
130,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,1,2,2393
131,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,1,2,6111
132,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,2,3,19270
133,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,1,4,3710
134,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,1,3,3235
135,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,1,0,11749
136,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,3,2,7753
137,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,1,0,10408
138,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,2,3,3967
139,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,2,2,6205
140,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,3,3,8025
141,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,2,3,9036
142,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,3,2,14926
143,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,2,3,6335
144,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,3,3,14979
145,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2,3,2732
146,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,3,2,2250
147,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,2,0,10916
148,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,1,3,5349
149,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,1,3,9366
150,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,1,0,21617
151,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,2,3,13860
152,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,3,18386
153,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2,2,2405
154,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2,3,2154
155,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,2038
156,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,1,3,8135
157,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,1,3,9364
158,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,3,2,32643
159,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3,1,3195
160,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2,1,2852
161,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,3,3,4224
162,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,2,20459
163,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,5,3,3482
164,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,2,3,3065
165,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,1,2,2185
166,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1,0,1611
167,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,2822
168,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,3,3,32975
169,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,2,2,1438.3
170,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,3,3,15875
171,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,3,3,6703
172,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,1,3212
173,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,1,3,34516
174,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,1,2,9797
175,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,2,2,10400
176,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,1,2,26792
177,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3,2,3006
178,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,3,0,19482
179,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,2,3,3356
180,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,2,1,5771
181,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,2,3,11106
182,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,3,0,2890
183,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,2,2,3380
184,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,1,2,21331
185,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,2,1,12860
186,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,1,0,6278
187,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1,3,1438.3
188,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,1,2,9355
189,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,1,3,20758
190,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,3,1,14612
191,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,2,0,27259
192,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,2,3,6347
193,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,0,21592
194,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,1,1,3449
195,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,1,2,6028
196,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,2,3,18214
197,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,1,16393
198,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,3,2,1438.3
199,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,1,2,7871
200,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,3,0,5288
201,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,5,3,11376
202,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,5,3,12302
203,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,2,1,34516
204,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,2,2,34516
205,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,2,2,10514
206,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,4,3,1438.3
207,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3
208,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,1,2,2619
209,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,3,0,24407
210,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,1,2,2377
211,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,2,3,34516
212,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,3,3,11086
213,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,2,2,11432
214,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,3,2,13258
215,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,2,3,2571
216,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,2,0,5781
217,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,1,2,7872
218,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,1,2,34516
219,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,1,3,11127
220,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,1,3,1857
221,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,1,0,1913
222,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,3,0,3839
223,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,2,3,2115
224,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,2,2,1438.3
225,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,3,0,27756
226,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,1,2,1438.3
227,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,4,2,13878
228,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,1,3,3106
229,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,3,3,34516
230,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,3,1438.3
231,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,3,0,18871
232,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,2,2,5207
233,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,2,2,17965
234,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,3,3,2733
235,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,3,2,8863
236,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,3,3,1857
237,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,3,34516
238,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,3,3,11107
239,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,1,2,21573
240,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,3,3,2859
241,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,2,2,5269
242,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,3,1438.3
243,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,3,2,3387
244,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,2,3,1982
245,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,4645
246,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,3,2,2189
247,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,2442
248,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,1,2,21304
249,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,1,2,7577
250,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,1,2,3234
251,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,3,2,4469
252,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,3,4,2910
253,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,4,3,3616
254,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,2,3,3252
255,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,3,3,2358
256,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36,1,0,22322
257,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,2,2,3133
258,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,3,0,3540
259,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,3,2,6990
260,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,2,3,34516
261,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,4,1,1438.3
262,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35,3,2,24396
263,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,3,2,2474
264,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,1,3,5214
265,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,2,2,5207
266,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,2,2,9512
267,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,3,2,3187
268,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,3,3,3353
269,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,2290
270,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,1,3,5279
271,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,3,0,23603
272,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,2,2,2601
273,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,3,0,6363
274,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,3,3,8029
275,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2410
276,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,2,3401
277,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,2,0,2260
278,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,2,2,17682
279,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,1,3,4206
280,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,3,2,34516
281,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,3,0,23018
282,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,2,3,5556
283,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,3,1,6094
284,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,1,2,2939
285,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,1,0,5362
286,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,27126
287,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,3,2,3342
288,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,2,2,2532
289,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,3,1900
290,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,3,2,14546
291,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,3,2,2521
292,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,4,3,16427
293,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,1,2,13068
294,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,3,0,23218
295,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,1,3,3281
296,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,3,2,3096
297,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,2,3,2052
298,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,3,0,1438.3
299,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,3,2,9432
300,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,2,3,14938
301,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,3,2,2221
302,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,3,0,5731
303,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,3,34516
304,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,2,2,6985
305,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,42,3,0,24221
306,Existing Customer,36,F,3,High School,Married,Unknown,Blue,24,1,1,15439
307,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,36,3,2,21637
308,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,3,2,14543
309,Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,36,1,1,9684
310,Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36,2,2,5007
311,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,2,0,1616
312,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,2,2,19116
313,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,47,6,2,2759
314,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,3,3,8249
315,Existing Customer,38,F,2,Graduate,Single,Unknown,Blue,31,3,2,14041
316,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43,3,2,5264
317,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,54,2,1,2420
